cand_id,name,vote_count,party,party_full,party_code
31,"HINLO, JAYVEE (PDPLBN)",7402175,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN|PDP LABAN,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN,PDP LABAN
32,"LAMBINO,  RAUL  (PDPLBN)",8302086,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN|PDP LABAN,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN,PDP LABAN
33,"GONZALES, NORBERTO (PDSP)",984082,PARTIDO DEMOKRATIKO SOSYALISTA NG PILIPINAS|PDSP,PARTIDO DEMOKRATIKO SOSYALISTA NG PILIPINAS,PDSP
34,"TOLENTINO, FRANCIS TOL (PFP)",7672929,PARTIDO FEDERAL NG PILIPINAS|PFP,PARTIDO FEDERAL NG PILIPINAS,PFP
35,"ABALOS, BENHUR (PFP)",11531048,PARTIDO FEDERAL NG PILIPINAS|PFP,PARTIDO FEDERAL NG PILIPINAS,PFP
36,"PACQUIAO, MANNY PACMAN (PFP)",10360733,PARTIDO FEDERAL NG PILIPINAS|PFP,PARTIDO FEDERAL NG PILIPINAS,PFP
37,"ESPIRITU, LUKE (PLM)",6467837,PARTIDO LAKAS NG MASA|PLM,PARTIDO LAKAS NG MASA,PLM
38,"DE GUZMAN, KA LEODY (PLM)",4128199,PARTIDO LAKAS NG MASA|PLM,PARTIDO LAKAS NG MASA,PLM
39,"ESCOBAL, ARNEL (PM)",726940,PARTIDO MAHARLIKA|PM,PARTIDO MAHARLIKA,PM
40,"TAPADO, MICHAEL BONGBONG (PM)",457324,PARTIDO MAHARLIKA|PM,PARTIDO MAHARLIKA,PM
41,"CAPUYAN, ALLEN (PPP)",814450,PARTIDO PILIPINO SA PAGBABAGO|PPP,PARTIDO PILIPINO SA PAGBABAGO,PPP
42,"HONASAN, GRINGO (RP)",6682302,REFORM PH-PEOPLE’S PARTY|REFORM PH,REFORM PH-PEOPLE’S PARTY,REFORM PH
43,"MATULA,  ATTY.  SONNY (WPP)",3857363,WORKERS AND PEASANTS PARTY|WPP,WORKERS AND PEASANTS PARTY,WPP
44,"MUSTAPHA, SUBAIR (WPP)",385345,WORKERS AND PEASANTS PARTY|WPP,WORKERS AND PEASANTS PARTY,WPP
45,"D'ANGELO, DAVID (BUNYOG)",604906,BUNYOG (PAGKAKAISA) |BUNYOG,BUNYOG (PAGKAKAISA) ,BUNYOG
46,"MONTEMAYOR,  JOEY  (IND)",667758,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
47,"OLIVAR, JOSE JESSIE (IND)",445539,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
48,"MARQUEZ, NORMAN (IND)",1144404,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
49,"GAMBOA, MARC LOUIE (IND)",567966,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
50,"LACSON, PING (IND)",15064155,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
51,"BOSITA, COLONEL (IND)",9786940,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
52,"TULFO, BEN BITAG (IND)",12053096,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
53,"AMAD, WILSON (IND)",614173,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
54,"MATA, DOC MARITES (IND)",5740765,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
55,"SAHIDULLA, NUR-ANA (IND)",459889,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
56,"BALLON, ROBERTO (IND)",2383607,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
57,"VALBUENA, MAR MANIBELA (IND)",608975,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
58,"DE ALBAN,ATTORNEY ANGELO (IND)",2549409,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
59,"VERCELES, LEANDRO (IND)",308369,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
60,"MARCOLETA, RODANTE (IND)",15140342,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
61,"MENDOZA, HEIDI (IND)",8741903,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
62,"MARTINEZ, ERIC (IND)",1027280,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
63,"QUIBOLOY, APOLLO (IND)",5667438,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
64,"RODRIGUEZ, ATTY. VIC (IND)",8371309,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
65,"REVILLAME, WILLIE WIL (IND)",8539767,INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
