cand_id,name,party,party_full,party_code
32,"LAMBINO,  RAUL  (PDPLBN)",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN|PDP LABAN,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN,PDP LABAN
33,"GONZALES, NORBERTO (PDSP)",PARTIDO DEMOKRATIKO SOSYALISTA NG PILIPINAS|PDSP,PARTIDO DEMOKRATIKO SOSYALISTA NG PILIPINAS,PDSP
34,"TOLENTINO, FRANCIS TOL (PFP)",PARTIDO FEDERAL NG PILIPINAS|PFP,PARTIDO FEDERAL NG PILIPINAS,PFP
35,"ABALOS, BENHUR (PFP)",PARTIDO FEDERAL NG PILIPINAS|PFP,PARTIDO FEDERAL NG PILIPINAS,PFP
36,"PACQUIAO, MANNY PACMAN (PFP)",PARTIDO FEDERAL NG PILIPINAS|PFP,PARTIDO FEDERAL NG PILIPINAS,PFP
37,"ESPIRITU, LUKE (PLM)",PARTIDO LAKAS NG MASA|PLM,PARTIDO LAKAS NG MASA,PLM
38,"DE GUZMAN, KA LEODY (PLM)",PARTIDO LAKAS NG MASA|PLM,PARTIDO LAKAS NG MASA,PLM
39,"ESCOBAL, ARNEL (PM)",PARTIDO MAHARLIKA|PM,PARTIDO MAHARLIKA,PM
40,"TAPADO, MICHAEL BONGBONG (PM)",PARTIDO MAHARLIKA|PM,PARTIDO MAHARLIKA,PM
41,"CAPUYAN, ALLEN (PPP)",PARTIDO PILIPINO SA PAGBABAGO|PPP,PARTIDO PILIPINO SA PAGBABAGO,PPP
42,"HONASAN, GRINGO (RP)",REFORM PH-PEOPLE’S PARTY|REFORM PH,REFORM PH-PEOPLE’S PARTY,REFORM PH
43,"MATULA,  ATTY.  SONNY (WPP)",WORKERS AND PEASANTS PARTY|WPP,WORKERS AND PEASANTS PARTY,WPP
44,"MUSTAPHA, SUBAIR (WPP)",WORKERS AND PEASANTS PARTY|WPP,WORKERS AND PEASANTS PARTY,WPP
45,"D'ANGELO, DAVID (BUNYOG)",BUNYOG (PAGKAKAISA) |BUNYOG,BUNYOG (PAGKAKAISA) ,BUNYOG
46,"MONTEMAYOR,  JOEY  (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
47,"OLIVAR, JOSE JESSIE (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
48,"MARQUEZ, NORMAN (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
49,"GAMBOA, MARC LOUIE (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
50,"LACSON, PING (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
51,"BOSITA, COLONEL (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
52,"TULFO, BEN BITAG (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
53,"AMAD, WILSON (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
54,"MATA, DOC MARITES (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
55,"SAHIDULLA, NUR-ANA (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
56,"BALLON, ROBERTO (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
57,"VALBUENA, MAR MANIBELA (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
58,"DE ALBAN,ATTORNEY ANGELO (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
59,"VERCELES, LEANDRO (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
60,"MARCOLETA, RODANTE (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
61,"MENDOZA, HEIDI (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
62,"MARTINEZ, ERIC (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
63,"QUIBOLOY, APOLLO (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
64,"RODRIGUEZ, ATTY. VIC (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
65,"REVILLAME, WILLIE WIL (IND)",INDEPENDENT|INDEPENDENT,INDEPENDENT,INDEPENDENT
