reg_id,cand_id,vote_count
0,0,13158
0,1,75326
0,2,12654
0,3,14223
0,4,214152
0,5,14484
0,6,203595
0,7,196540
0,8,188657
0,9,15396
0,10,22425
0,11,13450
0,12,18670
0,13,18242
0,14,18824
0,15,17409
0,16,14354
0,17,22601
0,18,45035
0,19,30483
0,20,322077
0,21,310014
0,22,186262
0,23,68763
0,24,145653
0,25,232593
0,26,217862
0,27,865231
0,28,969940
0,29,517561
0,30,525215
0,31,366109
0,32,436111
0,33,22767
0,34,108482
0,35,155495
0,36,138117
0,37,36259
0,38,27844
0,39,19625
0,40,14176
0,41,23489
0,42,120535
0,43,26586
0,44,81954
0,45,10834
0,46,13832
0,47,14429
0,48,20957
0,49,14525
0,50,141396
0,51,69502
0,52,140518
0,53,19788
0,54,236891
0,55,45138
0,56,23809
0,57,10925
0,58,26002
0,59,7115
0,60,529819
0,61,51288
0,62,23679
0,63,282435
0,64,382443
0,65,143949
1,0,8055
1,1,107652
1,2,5795
1,3,15511
1,4,245659
1,5,8375
1,6,406726
1,7,238925
1,8,199294
1,9,12013
1,10,35561
1,11,13411
1,12,44425
1,13,49395
1,14,43837
1,15,10725
1,16,10236
1,17,39518
1,18,8749
1,19,42655
1,20,360628
1,21,271149
1,22,242627
1,23,74950
1,24,258820
1,25,214546
1,26,248375
1,27,250863
1,28,366647
1,29,87000
1,30,77515
1,31,44619
1,32,59712
1,33,16269
1,34,145435
1,35,258969
1,36,217840
1,37,66040
1,38,37940
1,39,11072
1,40,9834
1,41,49789
1,42,125314
1,43,39850
1,44,4248
1,45,7634
1,46,12310
1,47,7385
1,48,16530
1,49,9679
1,50,346908
1,51,146020
1,52,258012
1,53,10336
1,54,38623
1,55,4826
1,56,26703
1,57,11248
1,58,28438
1,59,5231
1,60,193572
1,61,105260
1,62,13693
1,63,33010
1,64,83061
1,65,144411
2,0,79328
2,1,1298494
2,2,34527
2,3,86063
2,4,3294828
2,5,36923
2,6,1928278
2,7,995332
2,8,2417896
2,9,99862
2,10,895783
2,11,149574
2,12,1083688
2,13,1179992
2,14,873484
2,15,118103
2,16,78047
2,17,966169
2,18,96978
2,19,930096
2,20,1475973
2,21,1158378
2,22,1898798
2,23,620851
2,24,2097236
2,25,1101953
2,26,1596766
2,27,1979829
2,28,2872175
2,29,652340
2,30,991080
2,31,568587
2,32,679710
2,33,133820
2,34,1003777
2,35,1556604
2,36,1079470
2,37,1470349
2,38,975155
2,39,76523
2,40,31793
2,41,58067
2,42,992623
2,43,927891
2,44,29139
2,45,92473
2,46,84608
2,47,41581
2,48,198391
2,49,65945
2,50,2190645
2,51,1737644
2,52,1504417
2,53,54266
2,54,556417
2,55,43724
2,56,498343
2,57,86696
2,58,562962
2,59,38436
2,60,1695144
2,61,1901014
2,62,250197
2,63,407648
2,64,888591
2,65,722345
3,0,29671
3,1,261933
3,2,20991
3,3,50314
3,4,904436
3,5,25011
3,6,855138
3,7,505924
3,8,641002
3,9,54228
3,10,108544
3,11,42795
3,12,119022
3,13,133905
3,14,128096
3,15,35812
3,16,28635
3,17,106171
3,18,22229
3,19,116021
3,20,485762
3,21,609750
3,22,630850
3,23,110006
3,24,572638
3,25,605768
3,26,569442
3,27,730389
3,28,995663
3,29,314165
3,30,287785
3,31,217586
3,32,196027
3,33,45821
3,34,322071
3,35,526987
3,36,612870
3,37,209771
3,38,123688
3,39,35378
3,40,28298
3,41,31714
3,42,211248
3,43,112996
3,44,14089
3,45,33618
3,46,33565
3,47,24681
3,48,46091
3,49,38131
3,50,681580
3,51,268202
3,52,608460
3,53,40921
3,54,145184
3,55,16339
3,56,79320
3,57,30345
3,58,74953
3,59,12344
3,60,441652
3,61,238670
3,62,45725
3,63,132953
3,64,225674
3,65,409617
4,0,1230
4,1,50027
4,2,984
4,3,2295
4,4,71361
4,5,639
4,6,48910
4,7,16643
4,8,64094
4,9,3336
4,10,11507
4,11,3996
4,12,23132
4,13,28104
4,14,27082
4,15,2783
4,16,1939
4,17,17330
4,18,3437
4,19,13735
4,20,59514
4,21,46639
4,22,49039
4,23,25885
4,24,55458
4,25,20424
4,26,30532
4,27,137120
4,28,146207
4,29,79596
4,30,106724
4,31,90720
4,32,94840
4,33,10611
4,34,28635
4,35,39428
4,36,32045
4,37,38234
4,38,22714
4,39,1346
4,40,557
4,41,3317
4,42,68881
4,43,20872
4,44,785
4,45,3436
4,46,2437
4,47,976
4,48,3681
4,49,3347
4,50,64883
4,51,31735
4,52,33694
