cty_id,cand_id,vote_count
6,42,630
6,43,281
6,44,195
6,45,122
6,46,110
6,47,137
6,48,178
6,49,150
6,50,769
6,51,404
6,52,1293
6,53,241
6,54,1831
6,55,726
6,56,243
6,57,98
6,58,235
6,59,77
6,60,3701
6,61,1028
6,62,157
6,63,2688
6,64,2767
6,65,1447
7,0,150
7,1,550
7,2,185
7,3,162
7,4,1916
7,5,257
7,6,1235
7,7,1041
7,8,1347
7,9,190
7,10,244
7,11,201
7,12,208
7,13,144
7,14,146
7,15,292
7,16,215
7,17,339
7,18,231
7,19,288
7,20,4891
7,21,2357
7,22,1015
7,23,655
7,24,1133
7,25,2017
7,26,1103
7,27,10271
7,28,11306
7,29,8179
7,30,8068
7,31,5383
7,32,5823
7,33,324
7,34,452
7,35,1596
7,36,821
7,37,311
7,38,291
7,39,275
7,40,270
7,41,150
7,42,1081
7,43,365
7,44,339
7,45,141
7,46,204
7,47,308
7,48,313
7,49,226
7,50,838
7,51,594
7,52,985
7,53,263
7,54,4251
7,55,532
7,56,226
7,57,118
7,58,268
7,59,102
7,60,6325
7,61,383
7,62,335
7,63,4855
7,64,5345
7,65,1788
8,0,53
8,1,106
8,2,72
8,3,65
8,4,1156
8,5,73
8,6,255
8,7,217
8,8,871
8,9,38
8,10,161
8,11,75
8,12,71
8,13,134
8,14,58
8,15,233
8,16,70
8,17,298
8,18,41
8,19,222
8,20,3806
8,21,1197
8,22,174
8,23,192
8,24,111
8,25,643
8,26,3413
8,27,6871
8,28,7453
8,29,6096
8,30,5972
8,31,4840
8,32,5096
8,33,141
8,34,200
8,35,359
8,36,190
8,37,205
8,38,153
8,39,91
8,40,103
8,41,169
8,42,317
8,43,153
8,44,202
8,45,79
8,46,51
8,47,64
8,48,141
8,49,67
8,50,74
8,51,766
8,52,286
8,53,46
8,54,3618
8,55,495
8,56,848
8,57,27
8,58,177
8,59,31
8,60,4861
8,61,274
8,62,103
8,63,5141
8,64,4731
8,65,450
9,0,96
9,1,97
9,2,19
9,3,26
9,4,455
9,5,833
9,6,308
9,7,218
9,8,421
9,9,30
9,10,59
9,11,26
9,12,54
9,13,27
9,14,31
9,15,89
9,16,56
9,17,75
9,18,35
9,19,123
9,20,810
9,21,249
9,22,152
9,23,157
9,24,169
9,25,572
9,26,204
9,27,6307
9,28,6208
9,29,5323
9,30,5269
9,31,3769
9,32,2926
9,33,84
9,34,62
9,35,151
9,36,138
9,37,93
9,38,82
9,39,85
9,40,50
9,41,14
9,42,235
9,43,148
9,44,59
9,45,27
9,46,55
9,47,123
9,48,106
9,49,49
9,50,168
9,51,280
9,52,198
9,53,35
9,54,3398
9,55,176
9,56,83
9,57,21
9,58,99
9,59,13
9,60,3803
9,61,138
9,62,81
9,63,3529
9,64,3967
9,65,276
10,0,13
10,1,68
10,2,21
10,3,8
10,4,655
10,5,41
10,6,225
10,7,275
10,8,406
10,9,6
10,10,26
10,11,9
10,12,15
10,13,17
10,14,16
10,15,24
10,16,15
10,17,30
10,18,31
10,19,34
10,20,1192
10,21,408
10,22,222
10,23,159
10,24,134
10,25,404
10,26,280
10,27,3542
10,28,4027
10,29,2399
10,30,2269
10,31,1243
10,32,1617
10,33,32
10,34,29
10,35,53
10,36,110
10,37,28
10,38,26
10,39,9
10,40,20
10,41,6
10,42,110
10,43,30
10,44,50
10,45,5
10,46,8
10,47,12
10,48,68
10,49,34
10,50,438
10,51,75
10,52,83
10,53,18
10,54,717
10,55,72
10,56,17
10,57,6
10,58,65
10,59,3
10,60,1556
10,61,41
10,62,32
10,63,584
10,64,1473
10,65,202
11,0,86
11,1,212
11,2,72
11,3,73
11,4,592
11,5,132
11,6,387
11,7,300
11,8,361
11,9,75
11,10,86
11,11,67
11,12,84
11,13,57
11,14,55
11,15,149
11,16,97
11,17,116
11,18,99
11,19,138
11,20,957
11,21,604
11,22,298
11,23,421
11,24,239
11,25,655
11,26,329
11,27,5198
11,28,5374
11,29,4508
11,30,4832
11,31,3428
11,32,3320
11,33,117
11,34,95
11,35,219
11,36,225
11,37,147
11,38,109
11,39,143
11,40,90
11,41,98
11,42,305
11,43,150
11,44,234
11,45,78
11,46,103
11,47,100
11,48,100
11,49,76
11,50,206
11,51,137
11,52,304
11,53,116
11,54,3113
11,55,226
11,56,74
11,57,50
11,58,136
11,59,29
11,60,3126
11,61,144
11,62,135
11,63,2579
11,64,3204
11,65,419
12,0,19
12,1,47
12,2,6
12,3,2
12,4,2200
12,5,75
12,6,127
12,7,100
12,8,180
12,9,9
12,10,18
12,11,4
12,12,16
12,13,16
12,14,15
12,15,98
12,16,8
12,17,13
12,18,19
12,19,24
12,20,3159
12,21,3878
12,22,3348
12,23,4270
12,24,97
12,25,207
12,26,106
12,27,4867
12,28,5077
12,29,425
12,30,4459
12,31,2009
12,32,1298
12,33,21
12,34,3350
12,35,46
12,36,72
12,37,54
12,38,21
12,39,5
12,40,9
12,41,3
12,42,2437
12,43,11
12,44,35
12,45,12
12,46,9
12,47,12
12,48,39
12,49,13
12,50,3010
12,51,154
12,52,93
12,53,5
12,54,133
12,55,18
12,56,14
12,57,8
12,58,20
12,59,11
12,60,4252
12,61,48
12,62,19
12,63,337
12,64,3840
12,65,164
13,0,31
13,1,382
13,2,41
13,3,49
13,4,1331
13,5,30
13,6,612
13,7,378
13,8,1170
13,9,66
13,10,135
13,11,41
13,12,112
13,13,80
13,14,76
13,15,40
13,16,38
13,17,113
13,18,358
13,19,172
13,20,678
13,21,1008
13,22,444
13,23,234
13,24,519
13,25,1206
13,26,725
13,27,4058
13,28,4640
13,29,1925
13,30,2102
13,31,1502
13,32,1587
13,33,140
13,34,246
13,35,327
13,36,472
13,37,271
13,38,101
13,39,39
13,40,38
13,41,57
13,42,566
13,43,273
13,44,1329
13,45,34
13,46,44
13,47,53
13,48,88
13,49,47
13,50,665
13,51,232
13,52,524
13,53,63
13,54,965
13,55,413
13,56,111
13,57,37
13,58,124
13,59,26
13,60,2141
13,61,388
13,62,58
13,63,705
13,64,1613
13,65,526
14,0,22
14,1,65
14,2,4
14,3,12
14,4,308
14,5,28
14,6,85
14,7,95
14,8,345
14,9,31
14,10,36
14,11,29
14,12,34
14,13,30
14,14,10
14,15,52
14,16,48
14,17,32
14,18,404
14,19,2965
14,20,13803
14,21,14365
14,22,12590
14,23,517
14,24,149
14,25,283
14,26,13940
14,27,17215
14,28,17067
14,29,4068
14,30,9961
14,31,3470
14,32,15859
14,33,130
14,34,60
14,35,32
14,36,76
14,37,40
14,38,67
14,39,21
14,40,4
14,41,7
14,42,13047
14,43,23
14,44,159
14,45,82
14,46,11
14,47,31
14,48,79
14,49,17
14,50,199
14,51,91
14,52,48
14,53,7
14,54,2755
14,55,32
14,56,100
14,57,110
14,58,36
14,59,19
14,60,16498
14,61,96
14,62,23
14,63,15546
14,64,13078
14,65,285
15,0,157
15,1,1560
15,2,212
15,3,237
15,4,2828
15,5,192
15,6,1841
15,7,1651
15,8,2572
15,9,257
15,10,514
15,11,224
15,12,437
15,13,372
15,14,319
15,15,197
15,16,183
15,17,449
15,18,1365
15,19,666
15,20,3022
15,21,2691
15,22,2342
15,23,630
15,24,1420
15,25,2329
15,26,1769
15,27,9653
15,28,10644
15,29,5422
15,30,5743
15,31,4342
15,32,4785
15,33,337
15,34,571
15,35,2304
15,36,1129
15,37,790
15,38,503
15,39,269
15,40,170
15,41,254
15,42,1268
15,43,587
15,44,4070
15,45,147
15,46,208
15,47,179
15,48,315
15,49,234
15,50,1261
15,51,1050
15,52,1518
15,53,329
15,54,2945
15,55,1549
15,56,484
15,57,160
15,58,461
15,59,123
15,60,5250
15,61,1021
15,62,296
15,63,2237
15,64,4558
15,65,1941
16,0,110
16,1,531
16,2,148
16,3,125
16,4,932
16,5,119
16,6,695
16,7,571
16,8,835
16,9,157
16,10,181
16,11,123
16,12,146
16,13,141
16,14,142
16,15,182
16,16,169
16,17,198
16,18,481
16,19,228
16,20,1367
16,21,1484
16,22,667
16,23,185
16,24,509
16,25,1055
16,26,697
16,27,3704
16,28,4525
16,29,2481
16,30,2320
16,31,1734
16,32,1978
16,33,210
16,34,637
16,35,896
16,36,582
16,37,316
16,38,198
16,39,190
16,40,112
16,41,128
16,42,383
16,43,230
16,44,1220
16,45,115
16,46,145
16,47,117
16,48,163
16,49,171
16,50,445
16,51,338
16,52,607
16,53,178
16,54,1217
16,55,786
16,56,162
16,57,87
16,58,190
16,59,72
16,60,2323
16,61,365
16,62,181
16,63,1007
16,64,1779
16,65,594
17,0,118
17,1,562
17,2,93
17,3,96
17,4,1324
17,5,76
17,6,864
17,7,524
17,8,1040
17,9,71
17,10,181
17,11,98
17,12,143
17,13,123
17,14,107
17,15,91
17,16,73
17,17,175
17,18,362
17,19,176
17,20,735
17,21,754
17,22,600
17,23,98
17,24,520
17,25,767
17,26,584
17,27,3243
17,28,4375
17,29,1436
17,30,1627
17,31,1049
17,32,1264
17,33,116
17,34,241
17,35,264
17,36,326
17,37,281
17,38,190
17,39,104
17,40,53
17,41,77
17,42,385
17,43,171
17,44,1230
17,45,71
17,46,78
17,47,75
17,48,96
17,49,94
17,50,534
17,51,375
17,52,695
17,53,108
17,54,757
17,55,429
17,56,129
17,57,36
17,58,145
